Имя,Категория,Гео,Статус
Dr. Pedro Cavadas,Паразиты,Испания,Согласована
Dr. César Carballo,Паразиты,Испания,Согласована
Dr. Bartolomé Beltrán,Паразиты,Испания,Согласована
Хулио Сесар Чавес,Паразиты,Мексика,Согласована
Алехандро Гонсалес Иньярриту,Паразиты,Мексика,Согласована
Сальма Хайек,Паразиты,Мексика,Согласована
Eckart von Hirschhausen,Грибок,Мексика,Согласована
Эльса Агирре,Варикоз,Мексика,Черный список
Alejandro González Iñárritu,Потенция,Мексика,Согласована
Danny Trejo,Потенция,Мексика,Согласована
Eugenio Derbez,Потенция,Мексика,Черный список
Jillian Michaels,Похудение,Мексика,Черный список
Tara Costa,Похудение,Мексика,Согласована
Ramon Medeiros,Похудение,Мексика,Согласована
Jessica Limpert,Похудение,Мексика,Согласована
Никки Вебстер,Похудение,Мексика,Согласована
Andrés García,Потенция,Мексика,Согласована
victoria ruffo,Цистит,Мексика,Черный список
Арасели Арамбула,Цистит,Мексика,Согласована
Сальма Хайек,Цистит,Мексика,Согласована
Angelica Aragon,Цистит,Мексика,Согласована
Dr. José Narro Robles,Паразиты,Мексика,Согласована
Dr. Francisco Moreno Sánchez,Паразиты,Мексика,Черный список
Dr. Abel Cruz,Паразиты,Мексика,Согласована
Лусия Мендес,Вальгус,Мексика,Согласована
Лупита Феррер,Вальгус,Мексика,Согласована
Polo Guerrero,Похудение,Мексика,Согласована
Nelson Arturo,Похудение,Мексика,Согласована
Фернандо Монкеберг Баррос,Похудение,Мексика,Черный список
dr. hugo lopez gatell,Похудение,Мексика,Согласована
Dr. Juan Carlos Perez,Похудение,Мексика,Черный список
Dr. César Lozano,Похудение,Мексика,Согласована
Claudia Álvarez,Похудение,Мексика,Согласована
Anahí,Похудение,Мексика,Черный список
Tina Romero,Похудение,Мексика,Согласована
Silvia Navarro актриса,Похудение,Мексика,Согласована
Ana Brenda Contreras,Похудение,Мексика,Согласована
Erica Buenfil,Похудение,Мексика,Черный список
Ana de la Reguera,Похудение,Мексика,Черный список
Gabriela Spanik,Похудение,Мексика,Согласована
Sofía Vergara,Похудение,Мексика,Черный список
Catherine Zeta,Похудение,Мексика,Согласована
Angelina Jolie,Похудение,Мексика,Согласована
Jennifer López,Похудение,Мексика,Согласована
Jennifer Garner,Похудение,Мексика,Согласована
Halle Berry,Похудение,Мексика,Согласована
Doctor Bueno,Потенция,Мексика,Согласована
Angelica Aragon,Грибок,Мексика,Согласована
Арасели Арамбула,Грибок,Мексика,Согласована
victoria ruffo,Грибок,Мексика,Черный список
Tania Libertad,Варикоз,Мексика,Согласована
Octavio Arroyo,Потенция,Мексика,Согласована
Надя Комэнеч,цистит,Румыния,Согласована
Анжела Георгиу,цистит,Румыния,Согласована
Магда Катонэ,цистит,Румыния,Согласована
Marius Țuca,Паразиты,Румыния,Черный список
Răzvan Vasilescu,Паразиты,Румыния,Согласована
CARMEN TANASE,Паразиты,Румыния,Согласована
Rona Hartner,Паразиты,Румыния,Согласована
Dr. Mihail Pautov,Паразиты,Румыния,Согласована
Marius Țuca,Простатит,Румыния,Черный список
Răzvan Vasilescu,Простатит,Румыния,Согласована
CARMEN TANASE,Простатит,Румыния,Согласована
Marius Țuca,Суставы,Румыния,Черный список
Răzvan Vasilescu,Суставы,Румыния,Согласована
CARMEN TANASE,Суставы,Румыния,Согласована
Dr. Mihail Pautov,Суставы,Румыния,Согласована
Dr. Gabriela Man,Похудение,Румыния,Согласована
Dr. Adrian Copcea,Похудение,Румыния,Согласована
Teo Trandafir,Похудение,Румыния,Черный список
Oana Roman,Похудение,Румыния,Черный список
Prof. Dr. Dumitru Brănescu,Гипертония,Румыния,Согласована
Dr. Maria Gheorghiu,Гипертония,Румыния,Согласована
Cătălina Poiană,Гипертония,Румыния,Согласована
Dr. Ion Victor Bruckner,Гипертония,Румыния,Согласована
Prof. Dr. Constantin Ionescu,Диабет,Румыния,Согласована
Dr. Elena Mogoșanu,Диабет,Румыния,Согласована
Dr. Cătălin Cîrstoiu,Суставы,Румыния,Черный список
Dr. Mihai Craiu,Суставы,Румыния,Согласована
Dr. Răzvan Nicolescu,Суставы,Румыния,Черный список
Maia Morgenstern,Суставы,Румыния,Согласована
Marcel Iureș,Суставы,Румыния,Согласована
Oana Pellea,Суставы,Румыния,Согласована
Mihai Găinușă,Суставы,Румыния,Черный список
Andreea Esca,Суставы,Румыния,Черный список
Dan Bittman,Суставы,Румыния,Согласована
Horia Brenciu,Суставы,Румыния,Согласована
Nicu Alifantis,Суставы,Румыния,Согласована
Corina Chiriac,Суставы,Румыния,Согласована
Anca Țurcașiu,Суставы,Румыния,Согласована
Mihaela Tatu,Суставы,Румыния,Согласована
Dr. Mihail Pautov,Простатит,Румыния,Черный список
Dr. Mihai Craiu,Простатит,Румыния,Согласована
Dr. Bogdan Geavlete,Простатит,Румыния,Согласована
Dr. Cristian Surcel,Простатит,Румыния,Согласована
Maia Morgenstern,Простатит,Румыния,Согласована
Marcel Iureș,Простатит,Румыния,Согласована
Oana Pellea,Простатит,Румыния,Согласована
Mihai Găinușă,Простатит,Румыния,Черный список
Andreea Esca,Простатит,Румыния,Черный список
Dan Bittman,Простатит,Румыния,Согласована
Horia Brenciu,Простатит,Румыния,Согласована
Nicu Alifantis,Простатит,Румыния,Согласована
Dr. Mihai Craiu,Паразиты,Румыния,Согласована
Dr. Adrian Marinescu,Паразиты,Румыния,Согласована
Dr. Valeriu Gheorghiță,Паразиты,Румыния,Черный список
Dr. Carmen Dorobăț,Паразиты,Румыния,Согласована
Maia Morgenstern,Паразиты,Румыния,Согласована
Marcel Iureș,Паразиты,Румыния,Согласована
Oana Pellea,Паразиты,Румыния,Согласована
Mihai Găinușă,Паразиты,Румыния,Черный список
Andreea Esca,Паразиты,Румыния,Черный список
Dan Bittman,Паразиты,Румыния,Согласована
Horia Brenciu,Паразиты,Румыния,Согласована
Nicu Alifantis,Паразиты,Румыния,Согласована
Corina Chiriac,Паразиты,Румыния,Согласована
Anca Țurcașiu,Паразиты,Румыния,Согласована
Mihaela Tatu,Паразиты,Румыния,Согласована
CARMEN TANASE,цистит,Румыния,Согласована
Nadia Comăneci,Суставы,Румыния,Согласована
Nadia Comăneci,Паразиты,Румыния,Согласована
Nadia Comăneci,Простатит,Румыния,Согласована
horațiu mălăele,Суставы,Румыния,Согласована
horațiu mălăele,Паразиты,Румыния,Согласована
horațiu mălăele,Простатит,Румыния,Согласована
Leon Dănăilă,Суставы,Румыния,Согласована
Leon Dănăilă,Паразиты,Румыния,Согласована
Leon Dănăilă,Простатит,Румыния,Согласована
DR. VLAD CIUREA,Суставы,Румыния,Согласована
DR. VLAD CIUREA,Паразиты,Румыния,Согласована
DR. VLAD CIUREA,Простатит,Румыния,Согласована
Dr. Irinel Popescu,Суставы,Румыния,Согласована
Dr. Irinel Popescu,Паразиты,Румыния,Согласована
Dr. Irinel Popescu,Простатит,Румыния,Согласована
CARMEN TANASE,Вальгус,Румыния,Согласована
Maia Morgenstern,Вальгус,Румыния,Согласована
Oana Pellea,Вальгус,Румыния,Согласована
Andreea Esca,Вальгус,Румыния,Черный список
Corina Chiriac,Вальгус,Румыния,Согласована
Anca Țurcașiu,Вальгус,Румыния,Черный список
Mihaela Tatu,Вальгус,Румыния,Черный список
Nadia Comăneci,Вальгус,Румыния,Согласована
Dr. Mihail Pautov,Вальгус,Румыния,Черный список
Leon Dănăilă,Вальгус,Румыния,Черный список
DR. VLAD CIUREA,Вальгус,Румыния,Согласована
Dr. Irinel Popescu,Вальгус,Румыния,Согласована
Надя Комэнеч,потенция,Румыния,Согласована
Илие Нэстасе,Потенция,Румыния,Согласована
Георге Хаджи,Потенция,Румыния,Согласована
Даниэль Буздуган,Потенция,Румыния,Согласована
Doctor Cezar,потенция,Румыния,Согласована
Prof. Dr. Maria Dorobanțu,Диабет,Румыния,Черный список
Prof. Dr. Maria Dorobanțu,Гипертония,Румыния,Черный список
Prof. Dr. Nicolae Hâncu,Диабет,Румыния,Согласована
Prof. Dr. Nicolae Hâncu,Гипертония,Румыния,Согласована
Prof. Dr. Maria Moța,Диабет,Румыния,Согласована
Prof. Dr. Maria Moța,Гипертония,Румыния,Согласована
Prof. Dr. Bogdan Timar,Диабет,Румыния,Согласована
Prof. Dr. Bogdan Timar,Гипертония,Румыния,Согласована
Raed Arafat,Диабет,Румыния,Черный список
Raed Arafat,Гипертония,Румыния,Черный список
Ion Dolănescu,Диабет,Румыния,Черный список
Ion Dolănescu,Гипертония,Румыния,Черный список
Maria Ciobanu,Диабет,Румыния,Согласована
Maria Ciobanu,Гипертония,Румыния,Согласована
Irina Loghin,Диабет,Румыния,Черный список
Irina Loghin,Гипертония,Румыния,Черный список
Florin Piersic,Диабет,Румыния,Согласована
Florin Piersic,Гипертония,Румыния,Согласована
Tamara Buciuceanu,Диабет,Румыния,Согласована
Tamara Buciuceanu,Гипертония,Румыния,Согласована
Victor Rebengiuc,Диабет,Румыния,Согласована
Victor Rebengiuc,Гипертония,Румыния,Согласована
Stela Popescu,Диабет,Румыния,Согласована
Stela Popescu,Гипертония,Румыния,Согласована
George Mihăiță,Диабет,Румыния,Черный список
George Mihăiță,Гипертония,Румыния,Черный список
Йоргос Даларас,Потенция,Греция,Согласована
Василис Папаконстантину,Потенция,Греция,Согласована
Λάκης Λαζόπουλος,Потенция,Греция,Согласована
dr. kypros nicolaides,паразиты,Греция,Согласована
Dr. Sotiris Tsiodras,паразиты,Греция,Черный список
Dr. Constantinos Tsioutis,паразиты,Греция,Согласована
Dr. Nikolaos Mavrogiorgos,паразиты,Греция,Согласована
Giorgos Kapoutzidis,паразиты,Греция,Согласована
Giorgos Dalaras,паразиты,Греция,Черный список
Haris Alexiou,паразиты,Греция,Согласована
Giannis Parios,паразиты,Греция,Согласована
Katerina Didaskalou,паразиты,Греция,Согласована
Anna Vissi,паразиты,Греция,Черный список
Giorgos Liagas,паразиты,Греция,Черный список
Vangelis Mourikis,паразиты,Греция,Согласована
Katerina Lehou,паразиты,Греция,Согласована
Mina Adamaki,паразиты,Греция,Согласована
Giannis Fertis,паразиты,Греция,Согласована
Vasilis Karras,паразиты,Греция,Черный список
Irene Papas,паразиты,Греция,Согласована
dr. kypros nicolaides,суставы,Греция,Согласована
Giorgos Kapoutzidis,суставы,Греция,Согласована
Giorgos Dalaras,суставы,Греция,Черный список
Haris Alexiou,суставы,Греция,Согласована
Giannis Parios,суставы,Греция,Согласована
Katerina Didaskalou,суставы,Греция,Согласована
Anna Vissi,суставы,Греция,Черный список
Giorgos Liagas,суставы,Греция,Черный список
Vangelis Mourikis,суставы,Греция,Согласована
Katerina Lehou,суставы,Греция,Согласована
Eckart von Hirschhausen,Грибок,Греция,Черный список
Доктор Георгиос Папаниколау,Похудение,Греция,Согласована
Μαρία Κορινθίου,Похудение,Греция,Согласована
Νίκος Χατζηνικολάου,Суставы,Греция,Черный список
Νίκος Χατζηνικολάου,паразиты,Греция,Черный список
Νίκος Χατζηνικολάου,Потенция,Греция,Черный список
Νίκος Καρβέλας,Суставы,Греция,Согласована
Νίκος Καρβέλας,паразиты,Греция,Согласована
Νίκος Καρβέλας,Потенция,Греция,Согласована
Άκης Σακελλαρίου,Суставы,Греция,Согласована
Άκης Σακελλαρίου,паразиты,Греция,Согласована
Άκης Σακελλαρίου,Потенция,Греция,Согласована
Mimi Denissi,Суставы,Греция,Согласована
Mimi Denissi,паразиты,Греция,Согласована
Mimi Denissi,Потенция,Греция,Согласована
Giannis Bezos,Суставы,Греция,Черный список
Giannis Bezos,паразиты,Греция,Черный список
Giannis Bezos,Потенция,Греция,Черный список
George Dalaras,Суставы,Греция,Черный список
George Dalaras,паразиты,Греция,Черный список
George Dalaras,Потенция,Греция,Черный список
Mimi Denissi,Вальгус,Греция,Согласована
Haris Alexiou,Вальгус,Греция,Согласована
Katerina Didaskalou,Вальгус,Греция,Согласована
Anna Vissi,Вальгус,Греция,Черный список
Katerina Lehou,Вальгус,Греция,Согласована
dr. kypros nicolaides,Вальгус,Греция,Согласована
Доктор Параскеви Папагеоргиу,Потенция,Греция,Согласована
Jan Leyers,Потенция,Бельгия,Согласована
Pol Goossen,Потенция,Бельгия,Согласована
Mark Uytterhoeven,Потенция,Бельгия,Согласована
Koen Wauters,Потенция,Бельгия,Согласована
Dr. Steven Laureys,Потенция,Бельгия,Согласована
Dr. Thierry Hertoghe,Потенция,Бельгия,Согласована
Dr. Philippe Boxho,Потенция,Бельгия,Согласована
Dr. Michel Goldman,Потенция,Бельгия,Согласована
Mireille Mathieu,Паразиты,Франция,Согласована
Patrick Bruel,Паразиты,Франция,Согласована
Arielle Dombasle,Паразиты,Франция,Черный список
Jean reno,Паразиты,Франция,Согласована
Niels Arestrup,Паразиты,Франция,Согласована
Мишель Блан,Паразиты,Франция,Согласована
Gérald Kierzek,Паразиты,Франция,Согласована
Michel Cymes,Паразиты,Франция,Черный список
Mireille Mathieu,Суставы,Франция,Согласована
Patrick Bruel,Суставы,Франция,Согласована
Arielle Dombasle,Суставы,Франция,Черный список
Jean reno,Суставы,Франция,Согласована
Gérald Kierzek,Суставы,Франция,Согласована
Michel Cymes,Суставы,Франция,Черный список
Жерар Депардье,Потенция,Франция,Согласована
Серж Лама,Потенция,Франция,Согласована
Жан Рено,Потенция,Франция,Согласована
Катрин Денёв,Цистит,Франция,Согласована
Изабель Юппер,Цистит,Франция,Согласована
Жюльет Бинош,Цистит,Франция,Согласована
Мишель Мерсье,Цистит,Франция,Черный список
Катрин Денёв,Омоложение,Франция,Согласована
Жюльет Бинош,Омоложение,Франция,Согласована
Софи Марсо,Омоложение,Франция,Черный список
Катрин Денёв,Варикоз,Франция,Согласована
Изабель Юппер,Варикоз,Франция,Черный список
Жюльет Бинош,Варикоз,Франция,Согласована
Мишель Мерсье,Варикоз,Франция,Черный список
Prof. Jean Blacher,Гипертония,Франция,Согласована
Dr. Pierre Corvol,Гипертония,Франция,Согласована
Claire Chazal,Гипертония,Франция,Черный список
Jean,Гипертония,Франция,Согласована
Dr Roland Lanthier,Гипертония,Франция,Согласована
Dr. Jean,Гипертония,Франция,Согласована
Dr. Jean,Диабет,Франция,Согласована
Prof. Étienne Lancereaux,Диабет,Франция,Согласована
Dr. Jean,Диабет,Франция,Согласована
Le professeur Didier Raoult,Диабет,Франция,Согласована
Dr. Jean,Похудение,Франция,Согласована
Dr. Frédéric Saldmann,Похудение,Франция,Согласована
Michel Cymes,Похудение,Франция,Согласована
Laurence Boccolini,Похудение,Франция,Согласована
Evelyne Thomas,Похудение,Франция,Черный список
Loana,Похудение,Франция,Согласована
Dr Dominique,Похудение,Франция,Согласована
Laurent Ournac,Похудение,Франция,Согласована
Michel Polnareff,Похудение,Франция,Согласована
Eckart von Hirschhausen,Грибок,Франция,Черный список
Francis Cabrel,Паразиты,Франция,Согласована
Dr. Marina Carrère d'Encausse,Паразиты,Франция,Черный список
Dr. Christian Recchia,Паразиты,Франция,Согласована
Jean Dujardin,Паразиты,Франция,Черный список
Catherine Deneuve,Паразиты,Франция,Согласована
Vincent Cassel,Паразиты,Франция,Черный список
Cyril Hanouna,Паразиты,Франция,Согласована
Nagui,Паразиты,Франция,Согласована
Gérard Depardieu,Паразиты,Франция,Согласована
Isabelle Adjani,Паразиты,Франция,Согласована
Fanny Ardant,Паразиты,Франция,Согласована
Jean,Паразиты,Франция,Черный список
Francis Cabrel,Паразиты,Франция,Согласована
Francis Cabrel,суставы,Франция,Согласована
Dr. Marina Carrère d'Encausse,суставы,Франция,Черный список
Dr. Christian Recchia,суставы,Франция,Согласована
Dr. Laurent Grange,суставы,Франция,Согласована
Jean Dujardin,суставы,Франция,Черный список
Catherine Deneuve,суставы,Франция,Согласована
Vincent Cassel,суставы,Франция,Черный список
Cyril Hanouna,суставы,Франция,Согласована
Nagui,суставы,Франция,Согласована
Gérard Depardieu,суставы,Франция,Согласована
Isabelle Adjani,суставы,Франция,Согласована
Fanny Ardant,суставы,Франция,Согласована
Jean,суставы,Франция,Черный список
Francis Cabrel,Простатит,Франция,Согласована
Patrick Bruel,Простатит,Франция,Черный список
Jean reno,Простатит,Франция,Согласована
Dr. Marina Carrère d'Encausse,Простатит,Франция,Черный список
Dr. Christian Recchia,Простатит,Франция,Согласована
Dr. François Desgrandchamps,Простатит,Франция,Согласована
Dr. Morgan Rouprêt,Простатит,Франция,Согласована
Dr. Olivier Traxer,Простатит,Франция,Согласована
Jean Dujardin,Простатит,Франция,Черный список
Catherine Deneuve,Простатит,Франция,Согласована
Vincent Cassel,Простатит,Франция,Черный список
Cyril Hanouna,Простатит,Франция,Согласована
Nagui,Простатит,Франция,Согласована
Gérard Depardieu,Простатит,Франция,Согласована
Isabelle Adjani,Простатит,Франция,Согласована
Fanny Ardant,Простатит,Франция,Согласована
Jean,Простатит,Франция,Черный список
Zinedine Zidane,Суставы,Франция,Согласована
Mylène Farmer,Суставы,Франция,Согласована
Daniel Auteuil,Суставы,Франция,Согласована
Jean,Суставы,Франция,Согласована
Fabrice Luchini,Суставы,Франция,Согласована
Isabelle Huppert,Суставы,Франция,Черный список
Laurent Voulzy,Суставы,Франция,Согласована
alexandra lamy,Суставы,Франция,Согласована
Eric Judor,Суставы,Франция,Согласована
Omar Sy,Суставы,Франция,Согласована
David Pujadas,Суставы,Франция,Черный список
Anne,Суставы,Франция,Черный список
Laurence Ferrari,Суставы,Франция,Черный список
Sylvie Guillem,Суставы,Франция,Согласована
Aurélie Dupont,Суставы,Франция,Согласована
Zinedine Zidane,Паразиты,Франция,Согласована
